"","X.1","X","ward","csw_lk","csw_na","csw_negrin","csw_tariq","csw_teresa","csw_untermeyer","w_sp_total","w_r_total","w_r_notcand","w_r_cand","w_s_gotv","avg_medHHinc","pmale","pfem","pp18_34","pp35_64","pp65_over","ppm18_34","ppm35_64","ppm65_over","ppf18_34","ppf35_64","ppf65_over","pwhite","pblack","pamer_nativ","pasian","ppac_isl","prace_other","prace_two","pnot_hisp","phisp_lat","pless_hs","phs","psome_college","pbachelor","pmasters","pprof_school_over","pdoctorate","pemployed","punemployed","pdem_vot_turnout","pvote_khan","pvote_oneill","pvote_krasner","pvote_untermeyer","pvote_negrin","pvote_shabazz","pvote_deni","pvote_write_in"
"39",39,39,"42",2050,11275,50,0,0,50,NA,NA,NA,NA,NA,32103.1388888889,47.9265317836131,52.0074616157268,29.5336490170756,32.6072607260726,6.16157267900703,13.7092839718754,15.1815181518152,2.69192136604965,15.7698378533506,17.3597359735974,3.41799397331037,18.4818481848185,39.0414693643277,1.23403644712297,9.65131295738269,0.947051226861817,25.9147653895824,4.49418854928971,50.661500932702,49.2839718754484,34.5353603486743,65.3504903232501,29.3104342863073,10.0918383230426,2.92637368339127,0.430654283194106,0.0363202407513101,85.3348968752156,14.5271435469407,8.95880361173815,15.9055118110236,1.18110236220472,44.8818897637795,6.8503937007874,14.8818897637795,14.5669291338583,1.73228346456693,0
"40",40,40,"43",35,1435,2000,0,0,0,NA,NA,NA,NA,NA,24348.9677419355,47.0635445189312,52.8845245963554,28.2079123784345,32.67396846379,9.26258143706921,13.299027476159,15.0127466717024,3.51713719195543,14.8663959966009,17.6045699178548,5.70767632895855,17.4771032008309,51.8270229440091,1.31715607591351,0.944197903880653,0.778963270701539,24.0959305070343,3.38494948541214,47.2051742045133,52.7476159002927,35.2271776420383,64.6724123504309,27.487239561543,8.19178311438374,3.80721278554096,1.22165509162413,0.602460045184503,71.9411223551058,27.9323827046918,8.90903152049649,16.5902841429881,1.74152153987168,32.1723189734189,10.1741521539872,23.0980751604033,15.032080659945,1.19156736938588,0
"41",41,41,"44",2150,14400,150,0,300,150,NA,NA,NA,NA,NA,25257.9047619048,39.1648284779798,60.7515022438579,25.1996653228874,35.0270023579524,13.0904388833955,10.4890849623488,13.6837301285464,4.14543241804214,14.6269110823762,21.2367840571994,8.84612459116148,1.91678709971857,94.7212291777592,0,0.395527496767323,0,1.51365330493649,1.29307066250856,97.8245987677797,2.12215714611698,17.1202916160389,82.7095990279465,40.6804374240583,9.40461725394897,3.54799513973269,0.255164034021871,0.0850546780072904,78.4775888717156,21.2712519319938,16.0326086956522,14.6186440677966,1.0593220338983,36.5819209039548,9.18079096045198,10.7344632768362,26.7655367231638,1.0593220338983,0
"42",42,42,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38968.1176470588,46.7057619647355,53.2194584382872,23.6460957178841,38.7122166246851,9.87877833753149,10.4101070528967,19.4781171284635,3.60909949622166,13.1572732997481,19.1553841309824,6.20277078085642,72.6031171284635,15.3455604534005,0.271568010075567,1.10988664987406,0.0432934508816121,7.10012594458438,3.33359571788413,76.1610516372796,23.7799118387909,23.36686462247,76.5119379469155,32.989940613259,13.240819294631,4.32674827293661,0.890801115016362,0.145436916737365,83.359353475985,16.4569749288273,10.03600360036,22.085201793722,16.5919282511211,17.152466367713,12.5560538116592,25.7847533632287,2.3542600896861,3.36322869955157,0.112107623318386
"43",43,43,"46",0,11000,0,0,0,0,15600,15600,15600,NA,NA,38149.5862068966,47.851572455273,52.0974565472246,37.3209643712728,34.1505683266222,10.5458993832509,17.432081145828,17.0854783628116,4.10826239869514,19.8022325296906,16.9937305673072,6.37137468780264,33.0088179825679,56.3076609409246,0.443447678271064,4.01651460319078,0,0.26504918701259,5.76991691727407,95.8254753045517,4.1388449971966,10.9408258833546,88.9456506314744,62.3172981410529,42.6990208599404,19.4976585781184,7.15197956577267,4.61189158507166,86.4578492424946,13.4027325959662,33.1960885229027,12.3145071982281,0.53156146179402,68.7043189368771,2.94573643410853,5.38205980066445,9.3687707641196,0.753045404208195,0
"44",44,44,"47",85,10435,0,0,0,0,NA,NA,NA,NA,NA,20137.3,49.7456492637216,50.1606425702811,48.2195448460509,27.6037483266399,7.06827309236948,24.4310575635877,14.0160642570281,2.87817938420348,23.7349397590361,13.5073627844712,4.16331994645248,25.6358768406961,62.7710843373494,0,7.34939759036145,0,2.74431057563588,1.29852744310576,95.7697456492637,4.16331994645248,20.1747201747202,79.7433797433797,49.2219492219492,18.8643188643189,6.55200655200655,1.66530166530167,1.41960141960142,89.2943305186972,10.6453558504222,12.8871300757054,16.8224299065421,5.74098798397864,41.6555407209613,10.4138851802403,9.34579439252336,14.8197596795728,1.20160213618158,0
"45",45,45,"48",0,14100,0,0,0,3000,7010,11500,8500,3000,6500,30366.375,47.759630493786,52.168944335984,28.074853578401,35.4935479262892,10.1138041045664,12.9517642017047,15.7516308747203,3.39507642493215,15.0659492405124,19.6609685253083,6.67587257749631,21.3085091186134,55.1164230274749,0.166658730536641,19.8371506118756,0,0.58568639588591,2.8046283510309,95.7144897862007,4.23313175563068,23.7616442407216,76.142244566021,40.99512050865,14.4758243383114,4.00709744196363,1.08679580068017,0.502735472423481,82.6481130086443,17.2043010752688,15.7126281183524,15.5076923076923,3.13846153846154,40.1846153846154,12.6769230769231,13.5384615384615,12.7384615384615,2.09230769230769,0.123076923076923
"46",46,46,"49",0,17600,0,0,0,0,NA,NA,NA,NA,NA,31084.5263157895,46.2786609039631,53.6444216540913,26.4229726759944,35.1183063511831,9.90403633433448,12.9514321295143,14.9073327961321,3.64442165409128,13.4129367811882,20.1340561131053,6.20467365028203,7.60750128195737,78.0565526335067,1.10980880521574,5.29265255292653,0.02197641198447,4.54911728078529,3.19390520840964,87.718848436012,12.2225477986961,21.1804712169055,78.6859363614282,41.2800582948749,14.8409035705611,5.04007772649988,1.43915472431382,0.789409764391547,78.5415470429005,21.3108030514314,15.7990314769976,19.1570881226054,1.6602809706258,33.0353341847595,9.49340144742444,10.727969348659,19.029374201788,6.85398041719881,0.042571306939123
"47",47,47,"5",100,12900,100,0,200,100,NA,100,100,NA,NA,70872.7631578947,49.608717715873,50.3458775139553,49.9986645655832,30.8565476349456,11.2016238882508,22.9107128548917,17.5956838759649,5.22421943858337,27.0505595470206,13.22347159531,5.94001228599663,71.6513981998344,10.7208674981972,0.368579899041158,12.7560695494244,0,1.31673833498037,3.03410699500548,93.3655618172592,6.58636254373548,6.24074256936901,93.7230505908298,82.6503406734472,72.2820183667424,37.0231394621639,17.8532635528784,5.77992824462658,94.6404068124949,5.29501977560739,26.4583798259317,30.4487179487179,1.63630229419703,45.5802968960864,5.01012145748988,14.6929824561404,1.55195681511471,1.06275303643725,0.0168690958164642
"48",48,48,"50",4500,32308.88,0,0,0,0,55745.85,56950,52450,4500,NA,49932.0322580645,43.5560768881489,56.3833812622976,23.1648251854094,37.641894959891,19.3014984107764,11.4083547752384,15.2224912971091,7.22339942485243,11.6921446950204,22.3550779476313,12.0175571363705,2.06977448161041,94.9485394278795,0.0416225215680339,0.510821855607689,0.0378386559709399,0.382170425306493,1.90328439533828,98.8421371272892,1.1351596791282,9.84220803208613,90.0839094411315,56.2351575281017,23.4629795767587,9.41474484141643,0.870758351364188,0.385244603936883,84.5537312271419,15.3295463388063,28.3535567182456,14.0557518649391,0.765606595995289,55.8303886925795,4.80957989791912,5.90891244601492,18.0604632901453,0.569297212406753,0
"49",49,49,"51",0,10000,0,0,0,0,NA,NA,NA,NA,NA,31901.5135135135,45.7470119521912,54.1683266932271,26.5836653386454,35.9462151394422,14.6165338645418,11.3147410358566,16.2201195219124,4.36752988047809,15.1842629482072,19.6613545816733,10.1593625498008,5.89641434262948,88.8296812749004,0.398406374501992,1.45418326693227,0,0.991035856573705,2.29083665338645,98.1972111553785,1.77788844621514,21.6258584652135,78.262167811287,39.6984174380412,11.7273813078531,3.54583457748582,0.910719617796357,0.865930128396536,80.8158274980549,19.028565077248,17.6062573789847,12.5733445096396,1.55071248952221,46.2699077954736,13.4534786253143,7.33445096395641,17.6445934618609,1.17351215423303,0
"50",50,50,"52",NA,NA,NA,NA,NA,NA,11940.4,6500,6500,NA,NA,39445.5925925926,43.6604693690948,56.274763791527,31.9948186528497,33.8425784821701,19.5214873514172,14.1420298689424,15.4373666565072,6.19475769582444,17.7956415726913,18.3366351722036,13.2695824443767,19.3576653459311,70.1310576043889,0.864827796403535,5.7375800060957,0.102864980188967,1.50868637610485,2.13730569948187,96.5330691862237,3.42121304480341,11.277181244267,88.6418820482383,59.4507095451357,26.6227809852695,11.2825770247666,3.10796956779798,1.47304807640425,88.6035039972785,11.2689232862732,24.8975816043346,16.8259023354565,1.59235668789809,37.6326963906582,8.62526539278132,17.2505307855626,17.0647558386412,1.00849256900212,0
"51",51,51,"53",100,9075,100,0,0,2500,975,NA,NA,NA,NA,42499.5294117647,48.0349184132012,51.9245644406792,26.3950790084349,37.1836900069984,8.58595160042727,13.1754392426977,16.3689270323032,4.07749825039596,13.1717558657777,20.7705624516557,4.45688607315187,35.1909830932999,35.9460753618918,0.276253268997016,13.3043574348963,0,11.0943312829202,4.05171461195624,75.0819551364691,24.8812110943313,25.9927797833935,73.9460319402802,41.0756898978156,16.68604295417,5.23159762589488,1.30331028574925,0.642476901425687,87.2874553017587,12.603079617602,12.8070716414842,21.7495987158909,7.70465489566613,22.23113964687,16.131621187801,20.8667736757624,9.06902086677368,2.24719101123596,0
"52",52,52,"54",0,7800,0,0,0,0,5684.52,6900,6900,NA,3250,37940.4230769231,47.3420965608466,52.6041666666667,28.0299272486772,34.9991732804233,7.57688492063492,14.3849206349206,15.7903439153439,3.16633597883598,13.6036706349206,19.171626984127,4.38574735449736,31.9279100529101,25.9879298941799,0.27281746031746,23.5739087301587,0.070271164021164,13.9467592592593,4.01372354497355,73.3465608465608,26.5997023809524,30.791229742612,69.1202505787825,33.1335966226338,12.2429524717418,2.65559035816424,0.326841890235599,0.156611739071224,88.1887755102041,11.7261904761905,9.35307872174591,20.9722222222222,10.8333333333333,19.1666666666667,17.7777777777778,16.9444444444444,11.9444444444444,2.36111111111111,0
"53",53,53,"55",0,19249.99,0,0,0,5000,7600,NA,NA,NA,NA,45148.7435897436,51.1999135197463,48.7352262899971,26.8665321418276,37.525223407322,11.7541078120496,13.9413375612568,18.27976362064,4.78524070337273,12.8603343903142,19.1769962525223,6.88959354280773,70.5750936869415,14.9358604785241,0,7.44450850389161,0,4.7744306716633,2.08633611991929,83.6119919285096,16.3303545690401,17.0101181331779,82.8839328283096,39.4607193939715,15.0500609206971,3.90951952111035,0.762833077289824,0.243682788578694,88.337504469074,11.5623882731498,13.0958354239839,19.5402298850575,17.5478927203065,14.7126436781609,21.6858237547893,20.9195402298851,3.14176245210728,2.45210727969349,0
"54",54,54,"56",0,4900,0,0,0,4125,9492.06,20325,16075,4250,NA,47930.7391304348,47.9123936157673,52.0380979324328,22.7573850107268,38.5812292241318,17.1912205012141,11.0498149326921,18.7919937760803,7.27774241459792,11.655704080911,19.7302968149563,9.8568969988448,65.749581535705,13.7232713298913,0.0660112690666478,11.5472569960157,0.0848716316571186,5.17952707640804,3.49859726053233,88.5140391824033,11.4364523657967,15.3916929547844,84.54587276551,47.4106203995794,26.1829652996845,7.89957939011567,1.86317034700315,0.558622502628812,89.6128423040604,10.3021718602455,15.7112242164479,20.4177323103154,13.9812446717818,14.0238704177323,25.8312020460358,19.5652173913043,3.96419437340153,2.21653878942881,0
"55",55,55,"57",0,13725,100,0,0,100,NA,NA,NA,NA,NA,60572.2608695652,48.8021978021978,51.1684981684982,23.6080586080586,38.2490842490842,17.4798534798535,11.6190476190476,18.1062271062271,7.35164835164835,11.967032967033,20.1208791208791,10.1025641025641,74.0549450549451,15.3076923076923,0.0659340659340659,6.03663003663004,0,2.54212454212454,1.91208791208791,92.1538461538462,7.83150183150183,10.1004435833376,89.8638658032937,51.8125732932239,23.3671544383827,6.62825676846989,1.89160250854025,0.841278743690409,93.6982119494112,6.25090856229103,16.307954868683,18.8372093023256,26.2209302325581,14.4767441860465,11.9186046511628,22.3837209302326,2.61627906976744,3.48837209302326,0.0581395348837209
"56",56,56,"58",150,22750,150,0,0,4050,24647.91,38500,34150,4350,NA,55519.7096774194,46.9225080121621,53.0466759799491,19.2908209384502,40.1922918892267,21.3185142575397,9.54474484345468,19.3894321636946,8.60793820363218,9.71731448763251,20.7720437176432,12.6797600460186,75.3964993015038,6.38507683457967,0.400608102555674,13.7398307173967,0.0225984057851919,1.85306927438573,2.09959733749692,95.9199605555099,4.05744103870491,11.8739463809886,88.0852683669585,51.256185763228,27.8943933873511,9.38876502256784,2.3492305182446,0.728696503344391,92.5208316479249,7.42253862956072,16.18030547622,22.7551803530315,14.313123561013,13.6991557943208,15.2340752110514,29.7006907137375,1.88027628549501,2.41749808135073,0
"57",57,57,"59",0,11000,0,0,0,0,9527.89,16000,16000,NA,NA,39107,45.1155638844842,54.8075536975638,26.3514487530633,35.9281149392148,15.3860938926529,10.403152179136,16.6162125798856,6.25630676084763,15.9002450627072,19.2302147902552,9.05770986497525,14.6749315265965,80.2796597953006,0.067272115708039,1.26855989620874,0,0.677526308202393,2.87828552207967,97.5637883811446,2.37854980539138,15.9261838440111,83.9763231197772,50.974930362117,24.5473537604457,11.9846796657382,3.21030640668524,1.54596100278552,85.5162308385933,14.3146979260595,22.5350025927847,21.2031558185404,1.11768573307035,41.025641025641,5.32544378698225,7.46219592373439,22.8468113083498,1.01906640368179,0
"58",58,58,"6",5000,23250,0,0,0,0,11800,NA,NA,NA,10800,26103.4117647059,49.8743799523288,50.0740836178574,26.3351156348644,30.5804290407782,12.6586355730207,14.0630032854474,14.5525993686787,4.28396572827417,12.2141338658764,15.9698511885589,8.31669136120595,8.12987180313084,84.7130065064743,0.270566256522579,3.38852026025897,0.180377504348386,0.463827868324422,2.65412613541197,97.8354699478194,2.12587772982027,28.3501161890008,71.5724244771495,41.6067278964258,11.297997122939,3.09837335398916,0.243443620670577,0.188115525063627,84.4400613631383,15.3846153846154,18.2760191300387,13.8940809968847,1.99376947040498,47.1028037383178,6.91588785046729,10.404984423676,18.380062305296,1.30841121495327,0
"59",59,59,"60",150,12970,2000,350,200,5035,NA,NA,NA,NA,NA,31622.3333333333,45.6175758274709,54.2440318302387,27.1133663937262,36.4087187175643,11.7056856187291,11.3308730250259,17.3509399146581,4.26709722062046,15.7075308499596,18.9597508937839,7.35209318417714,8.73025025948564,85.9993080382885,0.397877984084881,1.93749279206551,0,0.334448160535117,2.41033329489102,97.2609848921693,2.67558528428094,15.9914522304336,83.8749888700917,45.3120826284391,18.9030362389814,6.2950761285727,1.81640103285549,0.872584809901166,85.1561495951677,14.6896285824444,20.2724842631715,13.3560187154402,1.23351765206295,40.4934070608252,10.8039132284134,14.8447469162059,18.1199489578903,1.10591237771161,0.0425350914504466
"60",60,60,"61",100,23460,120,0,0,100,NA,150,150,NA,NA,42454.8333333333,48.9731484213632,50.9796400118029,24.4850988492181,40.3452345824727,9.05871938624963,13.7887282384184,18.816760106226,3.64709353791679,10.6609619356742,21.4960165240484,5.37326645028032,9.8790203599882,62.0684567719091,0.0354086751254057,18.2679256417822,0.486869282974329,6.63617586308646,2.48155798170552,87.7810563588079,12.1776335202125,22.2303100888048,77.6871936720532,45.7805600038822,16.5623331877517,4.86727810938031,0.786140631824137,0.257194157325181,83.7506691250818,16.1720097543567,16.7951505567635,22.7540211847783,2.00078462142016,32.561788936838,6.08081600627697,11.180855237348,24.2840329540996,1.05923891722244,0.0784621420164771
"61",61,61,"62",NA,NA,NA,NA,NA,NA,6210,6200,6200,NA,5200,36853.3333333333,44.9389678064102,54.9967877792848,24.9875080305518,38.2611178528089,8.48026268827183,12.2421300592476,16.7499464629881,2.83746163180812,12.6704261546149,21.4433578413877,5.58926404454279,36.4729816546506,41.1342708258976,0.745949032764651,3.90463273609822,0,12.2456991933757,5.27518024127347,69.633806838461,30.30908701549,21.4633288386,78.4194172480507,35.0296066131207,10.2538547224014,2.6851146157003,0.170018174356569,0.0996658263469543,84.5891707686482,15.2442256720939,8.78273067331671,16.2377994676131,22.715173025732,21.9165927240461,9.67169476486247,16.0603371783496,10.8251996450754,2.48447204968944,0.0887311446317657
"62",62,62,"63",0,20000,0,0,0,0,10316.14,20000,20000,NA,8234,67488,46.9710706338086,52.9835984505069,19.9785708398582,39.1535481744004,19.8837880161543,10.0263743509437,18.2395120745075,7.95763619879667,9.89450259622517,20.8645841918734,11.8725789170032,78.0021429160142,9.57718618643369,0.156597708728262,8.26258963158329,0,2.18824692986071,1.65663891865161,93.9915931756367,5.97131789334872,10.7321794579822,89.1994989751765,53.541334547939,30.4543384194944,10.4531997267137,2.32293327260305,0.523798679116374,93.1477516059957,6.75341788832153,23.21083172147,25.8333333333333,23.59375,14.0625,9.32291666666667,23.1770833333333,1.35416666666667,2.65625,0
"63",63,63,"64",0,8600,0,0,0,0,5015.8,8600,8600,NA,4600,49073.5,47.0525568181818,52.8823390151515,23.0883049242424,37.594696969697,18.264678030303,11.4642518939394,18.8091856060606,6.92471590909091,11.5648674242424,18.7322443181818,11.2630208333333,83.3510890151515,8.82457386363636,0.0473484848484849,4.01870265151515,0,1.7874053030303,1.75189393939394,91.7613636363636,8.16761363636364,11.7352299361513,88.1597025781945,44.5162854602764,22.9451224440314,7.7588297098521,1.69724399903015,0.945607370888225,89.2803784860558,10.5453187250996,13.9817094618361,19.622641509434,21.8867924528302,13.2075471698113,11.1949685534591,27.2955974842767,2.26415094339623,4.52830188679245,0
"64",64,64,"65",0,24380,0,0,0,40,NA,NA,NA,NA,NA,54419.7096774194,51.6259815636736,48.3185387504268,25.6316148856265,41.4305223625811,15.5300443837487,15.5300443837487,21.7352338682144,6.70023898941618,10.041823147832,19.6355411403209,8.79139638101741,69.6227381358826,19.1148856264937,0.311539774667122,3.31597814953909,0.0512120177534995,5.75708432912257,1.70279959030386,89.4033799931717,10.5496756572209,15.7573624310689,84.1957057374164,38.2905080370761,16.2912120145489,5.36782822949666,1.54875043998592,0.445852399389886,91.2610943138593,8.62186677070126,17.6186903868824,18.9172749391727,25.669099756691,13.2603406326034,14.2335766423358,20.9245742092457,4.01459854014599,2.98053527980535,0
"65",65,65,"66A",NA,NA,NA,NA,NA,NA,13326.97,20200,20200,NA,30200,61553.9565217391,49.2839719883547,50.6766858132032,22.1693288220946,40.9788338972382,16.3663545518924,11.1259737194114,19.5648752852309,7.44354394523566,11.0000786843969,21.3667479738768,8.87166574868204,89.2753167046975,3.91454874498387,0.121960815170352,4.43779998426312,0,0.719962231489496,1.38877960500433,93.7957353056889,6.16492249586907,9.86021505376344,90.0752688172043,47.4569892473118,20.4408602150538,6.82258064516129,1.41935483870968,0.483870967741935,93.889341530257,6.04399674098215,16.7348651767915,14.9216300940439,28.4639498432602,12.2257053291536,11.7241379310345,27.1473354231975,2.00626959247649,3.51097178683386,0
"66",66,66,"66B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57118.7142857143,48.2659623334864,51.6881028938907,21.48598989435,38.7459807073955,17.3748277446027,10.5133210840606,19.4706017455214,8.210840606339,10.9152503445108,19.200734956362,9.12953605879651,82.1658245291686,11.4951768488746,0.0229673863114378,2.89389067524116,0.660312356453836,1.36081763895269,1.26320624712908,95.2514928801102,4.71979788700046,12.3278846928094,87.5835413479346,46.0906675255657,20.6135759723005,5.9264030920364,1.13535711409936,0.265721877767936,91.9173572482688,7.96912248836417,15.7119174801989,15.1230949589683,19.4607268464244,9.96483001172333,20.2813599062134,30.3634232121923,2.2274325908558,2.57913247362251,0
"67",67,67,"7",0,16450,2050,0,0,0,21909.75,22250,20250,2000,NA,21983.3636363636,48.5242834056307,51.4161775963256,26.5331291996258,34.5751467211023,5.4180488219784,12.7923790082504,15.9139236199711,2.55592413030535,13.6897167644807,18.5931785319384,2.80683847920388,38.7046015139917,19.0312154461172,1.39491366845284,0.221144849876669,0.106319639363783,35.4682316917581,4.85668112613762,22.4802245470783,77.4815003827507,45.2418341708543,54.6168341708543,19.0640703517588,3.47047738693467,0.53391959798995,0.149183417085427,0,78.4853700516351,21.342512908778,4.77806788511749,14.5719489981785,1.09289617486339,14.5719489981785,8.37887067395264,54.8269581056466,4.55373406193078,1.82149362477231,0.182149362477231
"68",68,68,"8",250,6700,0,0,0,150,NA,NA,NA,NA,NA,70297.9761904762,47.3904719624872,52.5651341527705,48.4947698454538,29.086318359646,16.2953303182487,21.8168197330818,15.5406342776283,6.79781360117644,26.6141339030549,13.4790932549041,9.44479897894065,76.5184095890791,8.16570017480092,0.321855664382231,11.7782525457118,0.0804639160955578,0.971116228739491,1.98107710662856,94.1705280097666,5.77675425210177,3.14986627926173,96.8006075213788,89.7579819724634,80.0772608710008,43.3057087199128,20.8538316769571,6.68933866015122,96.0897189885293,3.833525222805,30.1534653465347,31.0786406173042,2.05220817599737,41.9799704482023,5.35215892300115,16.9758660318503,1.34624856345428,1.21490724019044,0
"69",69,69,"9",60,7270,120,0,0,60,NA,NA,NA,NA,NA,86532.4,44.727602905569,55.2179176755448,20.7506053268765,41.2167070217918,19.9697336561743,9.66101694915254,18.2384987893462,7.77239709443099,11.0230024213075,22.9237288135593,12.1307506053269,66.906779661017,23.4624697336562,0.236077481840194,4.21307506053269,0,2.409200968523,2.57869249394673,94.5278450363196,5.41162227602906,5.15222482435597,94.7808631649381,82.7283372365339,65.9585145533623,39.553362328538,15.2810304449649,5.66242890598862,94.8781033325878,5.04361440393648,44.8842105263158,37.03095684803,4.12757973733583,40.7598499061914,2.6266416510319,12.171669793621,2.76735459662289,0.515947467166979,0
"70",70,NA,"0",0,415996.25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,NA,NA,NA,NA,NA,NA,NA,NA,769433.87,NA,47115,NA,199975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
