"","X.1","X","ward","csw_lk","csw_na","csw_negrin","csw_tariq","csw_teresa","csw_untermeyer","w_sp_total","w_r_total","w_r_notcand","w_r_cand","w_s_gotv","avg_medHHinc","pmale","pfem","pp18_34","pp35_64","pp65_over","ppm18_34","ppm35_64","ppm65_over","ppf18_34","ppf35_64","ppf65_over","pwhite","pblack","pamer_nativ","pasian","ppac_isl","prace_other","prace_two","pnot_hisp","phisp_lat","pless_hs","phs","psome_college","pbachelor","pmasters","pprof_school_over","pdoctorate","pemployed","punemployed","pdem_vot_turnout","pvote_khan","pvote_oneill","pvote_krasner","pvote_untermeyer","pvote_negrin","pvote_shabazz","pvote_deni","pvote_write_in"
"11",11,11,"19",0,1500,2000,0,0,0,4620,6300,6300,NA,NA,21176.8,50.2193944712593,49.7074740383209,25.5155770074594,35.9587538394033,8.68802106186924,12.5932426502852,18.5900248647067,3.67120081907269,12.8345765686705,17.2882843352348,4.95831505046073,38.7084978791868,17.7636390229633,0.307152259763054,0.884891034079275,0,39.1838525669153,2.91063331870704,18.7436009945883,81.161328067866,43.8600782778865,56.0543052837573,22.1501956947162,5.77299412915851,1.01516634050881,0.342465753424657,0,77.1962185842748,22.619322112059,7.03451570524304,10.8658743633277,1.01867572156197,25.4668930390492,6.45161290322581,49.5755517826825,5.77249575551783,0.848896434634975,0
"12",12,12,"2",NA,NA,NA,NA,NA,NA,2500,2500,2500,NA,NA,75662.2083333333,48.4749639922054,51.482673896467,37.1049733118699,37.4142167245615,10.0525290180463,17.8768109802593,18.6096755062272,4.05829026518682,19.185800220283,18.7621791070067,5.95187664153181,73.2610353300009,11.9249343387274,0.249936456833009,9.19681436922816,0.105905278319071,1.88087774294671,3.23646530543082,91.1463187325256,8.81979157841227,8.46900269541779,91.4716981132076,77.3369272237197,62.1563342318059,29.633423180593,11.6549865229111,3.20754716981132,94.1989647771746,5.76947355131928,34.6011921657678,24.2616899097621,2.64561115668581,55.045118949959,3.7940935192781,10.6439704675964,2.44052502050861,1.14848236259229,0.0205086136177194
"13",13,13,"20",0,13200,1000,0,0,0,NA,NA,NA,NA,NA,21155.9285714286,46.0444528159729,53.9272932755698,56.8845356941044,18.6852514597853,9.21077415709173,24.4490487850819,9.625164814466,3.79544170276888,32.369561122622,8.99416085891882,5.3494066679224,35.3738933885854,49.4066679223959,0,9.0035788284046,0.178941420229798,4.02147297042758,1.81766811075532,87.6718779431155,12.2527783009983,20,79.7758405977584,39.2029887920299,15.4919053549191,3.11332503113325,0.074719800747198,0,85.9051254089422,13.9040348964013,10.9593246354566,14.9859943977591,0.420168067226891,36.6946778711485,12.0448179271709,20.3081232492997,13.7254901960784,1.82072829131653,0
"14",14,14,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69577.76,48.7806970509383,51.1828418230563,39.427345844504,33.1753351206434,12.969436997319,20.8664879356568,15.3672922252011,5.72225201072386,18.5222520107239,17.7587131367292,7.20214477211796,80.6219839142091,11.6782841823056,0.186595174262735,3.63538873994638,0.0514745308310992,1.24396782841823,2.45576407506702,95.942091152815,4.02788203753351,6.04324788772734,93.9023342402979,68.4089932693685,48.9703565802664,19.8797078619504,6.72203923814979,2.82113704711442,94.5811609315259,5.36322558220369,26.722597299444,33.7915660412409,7.98811071892997,32.2868289058146,4.47705740293517,16.8307635147687,2.95374326583689,1.67193015047371,0
"15",15,15,"22",0,25000,0,0,0,0,NA,25000,25000,NA,NA,58112.8484848485,46.6738754325259,53.2785467128028,19.3382352941176,43.5207612456747,18.1574394463668,9.34688581314879,19.6280276816609,7.06314878892733,9.93944636678201,23.8278546712803,11.0467128027682,22.6730103806228,69.2647058823529,0.224913494809689,1.52681660899654,0,0.955882352941176,5.20328719723183,97.1496539792387,2.82006920415225,8.91472868217054,91.014799154334,67.3420249001644,40.1045337091849,22.0049330514447,6.90039934225981,2.17289170777543,88.4978259086061,11.4037246697842,35.7685563997662,24.7095134350036,0.853304284676834,49.0196078431373,3.46768336964415,8.71459694989107,12.5453885257807,0.689905591866376,0
"16",16,16,"23",0,12641.72,0,0,0,100,4743.72,NA,NA,NA,4743.72,32920.3888888889,46.6775816628065,53.2545323855922,24.6266272661928,37.1216356521045,8.10238798817986,12.0836993850331,15.4819902563693,3.27050555067487,12.4830285120997,21.5717594441339,4.78396294225701,28.1407235843782,51.3976519447328,1.24990016771823,2.09647791709927,0.435268748502516,12.2753773660251,4.17698266911589,70.3218592764156,29.6142480632537,24.7850416268596,75.098949092398,35.7649788453665,10.0996314999318,3.71912105909649,0.880305718575133,0.361675992902962,80.3523161524839,19.4892347842297,10.796266711511,19.8598130841121,19.7040498442368,24.1433021806854,8.56697819314642,14.2523364485981,11.5264797507788,1.94704049844237,0
"17",17,17,"24",0,11000,0,0,0,3000,4190,19300,16300,3000,NA,29862.7307692308,51.4003580296818,48.5361205751574,54.2299474504822,20.2690997285904,8.40792285037824,29.5432234220708,9.2625743489057,3.14719639660449,24.6289773055379,10.9430039845239,5.20297973090027,33.3487324594329,49.6621816711902,0.277184269792689,11.5551192469827,0.0230986891493908,1.0047929779985,3.93832649997113,96.5409712998787,3.40128197724779,19.5213060320974,80.3541781959048,54.5102379634754,26.6740453790813,12.1472053126729,3.25124515771998,1.4803541781959,88.0217170003393,11.7407533084493,16.4643920311427,14.6036161335188,2.01668984700974,45.6189151599444,11.1961057023644,9.94436717663421,15.0904033379694,1.46036161335188,0.0695410292072323
"18",18,18,"25",0,3000,0,0,0,3000,2300,10500,7500,3000,NA,34120.037037037,50.4035002430724,49.5187165775401,24.2100145843461,38.4735051045211,8.63393291200778,11.3271754982985,19.4895478852698,3.34953816237239,12.8196402527953,18.9256198347107,5.2552260573651,65.2649489547885,17.8172095284395,0.826446280991735,2.1147301895965,0.126397666504618,12.0320855614973,1.63344676713661,73.0967428293632,26.8351968886728,25.9273660471265,73.9715374445913,31.9931565440547,13.6791352360215,3.60059102574073,0.684345594525235,0.0233299634497239,80.6132879045997,19.2731402612152,9.55277280858676,21.0986267166042,11.7353308364544,32.70911360799,13.8576779026217,14.9812734082397,3.99500624219725,1.62297128589263,0
"19",19,19,"26",0,16960,0,0,0,0,13004.26,11600,11600,NA,9600,50863.04,47.8145695364238,52.1192052980132,24.9414161996943,39.6586856851757,19.7401935812532,12.4503311258278,19.6383087111564,7.71777890983189,12.4197656647988,19.9541518084564,11.9612837493632,88.3902190524707,4.13143148242486,0.259806418746816,5.78196637799287,0,0.101884870096791,1.18186449312277,96.6938359653592,3.25522159959246,10.945720518414,88.9772873091236,51.6360836648274,27.2295649942256,8.05851405107147,2.13011677146157,0.904658026433979,93.7138662017069,6.15765807102872,20.2494135078405,15.2439024390244,15.5487804878049,27.1341463414634,9.45121951219512,29.3292682926829,1.52439024390244,1.76829268292683,0
"20",20,20,"27",0,4866.5,0,0,0,0,3466.5,NA,NA,NA,NA,38556.3214285714,48.7108143201632,51.2149879428677,73.092190688184,15.5258764607679,3.37970691893897,35.0287516230755,8.43628269337785,1.28733073641254,38.0115006492302,7.04136523836023,2.05898720089037,52.4874791318865,21.2947505101094,0.1669449081803,19.6438508625487,0.408087553329623,1.37636802077537,4.42218512335374,94.0270821739937,5.92097941012799,7.32820074137439,92.567246459462,76.0479041916168,55.7361467541108,30.5579317555365,13.5918638912651,8.7634255298926,93.9290334503789,5.96008131583811,14.3885938750273,14.1051567239636,1.06167846309403,69.8685540950455,3.13447927199191,6.31951466127401,4.44893832153691,1.06167846309403,0
