"","ward","pvote_khan","pvote_oneill","pvote_krasner","pvote_untermeyer","pvote_negrin","pvote_shabazz","pvote_deni","pvote_write_in"
"337","46",12.3145071982281,0.53156146179402,68.7043189368771,2.94573643410853,5.38205980066445,9.3687707641196,0.753045404208195,0
"345","47",16.8224299065421,5.74098798397864,41.6555407209613,10.4138851802403,9.34579439252336,14.8197596795728,1.20160213618158,0
"353","48",15.5076923076923,3.13846153846154,40.1846153846154,12.6769230769231,13.5384615384615,12.7384615384615,2.09230769230769,0.123076923076923
"361","49",19.1570881226054,1.6602809706258,33.0353341847595,9.49340144742444,10.727969348659,19.029374201788,6.85398041719881,0.042571306939123
"369","5",30.4487179487179,1.63630229419703,45.5802968960864,5.01012145748988,14.6929824561404,1.55195681511471,1.06275303643725,0.0168690958164642
"377","50",14.0557518649391,0.765606595995289,55.8303886925795,4.80957989791912,5.90891244601492,18.0604632901453,0.569297212406753,0
"385","51",12.5733445096396,1.55071248952221,46.2699077954736,13.4534786253143,7.33445096395641,17.6445934618609,1.17351215423303,0
"393","52",16.8259023354565,1.59235668789809,37.6326963906582,8.62526539278132,17.2505307855626,17.0647558386412,1.00849256900212,0
"401","53",21.7495987158909,7.70465489566613,22.23113964687,16.131621187801,20.8667736757624,9.06902086677368,2.24719101123596,0
"409","54",20.9722222222222,10.8333333333333,19.1666666666667,17.7777777777778,16.9444444444444,11.9444444444444,2.36111111111111,0
"417","55",19.5402298850575,17.5478927203065,14.7126436781609,21.6858237547893,20.9195402298851,3.14176245210728,2.45210727969349,0
"425","56",20.4177323103154,13.9812446717818,14.0238704177323,25.8312020460358,19.5652173913043,3.96419437340153,2.21653878942881,0
"433","57",18.8372093023256,26.2209302325581,14.4767441860465,11.9186046511628,22.3837209302326,2.61627906976744,3.48837209302326,0.0581395348837209
"441","58",22.7551803530315,14.313123561013,13.6991557943208,15.2340752110514,29.7006907137375,1.88027628549501,2.41749808135073,0
"449","59",21.2031558185404,1.11768573307035,41.025641025641,5.32544378698225,7.46219592373439,22.8468113083498,1.01906640368179,0
"457","6",13.8940809968847,1.99376947040498,47.1028037383178,6.91588785046729,10.404984423676,18.380062305296,1.30841121495327,0
"465","60",13.3560187154402,1.23351765206295,40.4934070608252,10.8039132284134,14.8447469162059,18.1199489578903,1.10591237771161,0.0425350914504466
"473","61",22.7540211847783,2.00078462142016,32.561788936838,6.08081600627697,11.180855237348,24.2840329540996,1.05923891722244,0.0784621420164771
"481","62",16.2377994676131,22.715173025732,21.9165927240461,9.67169476486247,16.0603371783496,10.8251996450754,2.48447204968944,0.0887311446317657
"489","63",25.8333333333333,23.59375,14.0625,9.32291666666667,23.1770833333333,1.35416666666667,2.65625,0
"497","64",19.622641509434,21.8867924528302,13.2075471698113,11.1949685534591,27.2955974842767,2.26415094339623,4.52830188679245,0
"505","65",18.9172749391727,25.669099756691,13.2603406326034,14.2335766423358,20.9245742092457,4.01459854014599,2.98053527980535,0
"513","66A",14.9216300940439,28.4639498432602,12.2257053291536,11.7241379310345,27.1473354231975,2.00626959247649,3.51097178683386,0
"521","66B",15.1230949589683,19.4607268464244,9.96483001172333,20.2813599062134,30.3634232121923,2.2274325908558,2.57913247362251,0
"529","7",14.5719489981785,1.09289617486339,14.5719489981785,8.37887067395264,54.8269581056466,4.55373406193078,1.82149362477231,0.182149362477231
"537","8",31.0786406173042,2.05220817599737,41.9799704482023,5.35215892300115,16.9758660318503,1.34624856345428,1.21490724019044,0
"545","9",37.03095684803,4.12757973733583,40.7598499061914,2.6266416510319,12.171669793621,2.76735459662289,0.515947467166979,0
